Time_hr	Strain	Carbon	OD600
0	ATCC_29213	M9	0.03
0	ATCC_29213	M9	0.04
0	ATCC_29213	M9	0.04
0	ATCC_29213	M9_GLU	0.05
0	ATCC_29213	M9_GLU	0.04
0	ATCC_29213	M9_GLU	0.05
0	ATCC_29213	M9_Neu5Ac	0.03
0	ATCC_29213	M9_Neu5Ac	0.02
0	ATCC_29213	M9_Neu5Ac	0.04
0	ATCC_29213	M9_GMP	0.03
0	ATCC_29213	M9_GMP	0.03
0	ATCC_29213	M9_GMP	0.04
0	ATCC_43300	M9	0.02
0	ATCC_43300	M9	0.05
0	ATCC_43300	M9	0.02
0	ATCC_43300	M9_GLU	0.06
0	ATCC_43300	M9_GLU	0.05
0	ATCC_43300	M9_GLU	0.04
0	ATCC_43300	M9_Neu5Ac	0.04
0	ATCC_43300	M9_Neu5Ac	0.04
0	ATCC_43300	M9_Neu5Ac	0.03
0	ATCC_43300	M9_GMP	0.03
0	ATCC_43300	M9_GMP	0.05
0	ATCC_43300	M9_GMP	0.03
0	11.1.1	M9	0.04
0	11.1.1	M9	0.03
0	11.1.1	M9	0.03
0	11.1.1	M9_GLU	0.06
0	11.1.1	M9_GLU	0.05
0	11.1.1	M9_GLU	0.06
0	11.1.1	M9_Neu5Ac	0.02
0	11.1.1	M9_Neu5Ac	0.03
0	11.1.1	M9_Neu5Ac	0.05
0	13E2.1	M9	0.03
0	13E2.1	M9	0.03
0	13E2.1	M9	0.03
0	13E2.1	M9_GLU	0.04
0	13E2.1	M9_GLU	0.04
0	13E2.1	M9_GLU	0.04
0	13E2.1	M9_Neu5Ac	0.02
0	13E2.1	M9_Neu5Ac	0.03
0	13E2.1	M9_Neu5Ac	0.03
6	ATCC_29213	M9	0.72
6	ATCC_29213	M9	0.63
6	ATCC_29213	M9	0.63
6	ATCC_29213	M9_GLU	2.02
6	ATCC_29213	M9_GLU	1.96
6	ATCC_29213	M9_GLU	1.98
6	ATCC_29213	M9_Neu5Ac	0.9
6	ATCC_29213	M9_Neu5Ac	0.88
6	ATCC_29213	M9_Neu5Ac	0.86
6	ATCC_29213	M9_GMP	0.76
6	ATCC_29213	M9_GMP	0.79
6	ATCC_29213	M9_GMP	0.77
6	ATCC_43300	M9	0.55
6	ATCC_43300	M9	0.44
6	ATCC_43300	M9	0.55
6	ATCC_43300	M9_GLU	1.38
6	ATCC_43300	M9_GLU	1.16
6	ATCC_43300	M9_GLU	1.36
6	ATCC_43300	M9_Neu5Ac	0.76
6	ATCC_43300	M9_Neu5Ac	0.64
6	ATCC_43300	M9_Neu5Ac	0.74
6	ATCC_43300	M9_GMP	0.64
6	ATCC_43300	M9_GMP	0.61
6	ATCC_43300	M9_GMP	0.55
6	11.1.1	M9	0.12
6	11.1.1	M9	0.16
6	11.1.1	M9	0.21
6	11.1.1	M9_GLU	0.26
6	11.1.1	M9_GLU	0.32
6	11.1.1	M9_GLU	0.38
6	11.1.1	M9_Neu5Ac	0.20
6	11.1.1	M9_Neu5Ac	0.26
6	11.1.1	M9_Neu5Ac	0.30
6	13E2.1	M9	0.24
6	13E2.1	M9	0.33
6	13E2.1	M9	0.24
6	13E2.1	M9_GLU	0.72
6	13E2.1	M9_GLU	0.80
6	13E2.1	M9_GLU	0.88
6	13E2.1	M9_Neu5Ac	0.36
6	13E2.1	M9_Neu5Ac	0.44
6	13E2.1	M9_Neu5Ac	0.52
24	ATCC_29213	M9	1.92
24	ATCC_29213	M9	1.88
24	ATCC_29213	M9	1.76
24	ATCC_29213	M9_GLU	3.24
24	ATCC_29213	M9_GLU	3.16
24	ATCC_29213	M9_GLU	3.36
24	ATCC_29213	M9_Neu5Ac	2.52
24	ATCC_29213	M9_Neu5Ac	2.4
24	ATCC_29213	M9_Neu5Ac	2.4
24	ATCC_29213	M9_GMP	1.8
24	ATCC_29213	M9_GMP	1.84
24	ATCC_29213	M9_GMP	1.83
24	ATCC_43300	M9	1.6
24	ATCC_43300	M9	1.48
24	ATCC_43300	M9	1.52
24	ATCC_43300	M9_GLU	3.08
24	ATCC_43300	M9_GLU	3
24	ATCC_43300	M9_GLU	2.88
24	ATCC_43300	M9_Neu5Ac	2.28
24	ATCC_43300	M9_Neu5Ac	2.32
24	ATCC_43300	M9_Neu5Ac	2.24
24	ATCC_43300	M9_GMP	1.44
24	ATCC_43300	M9_GMP	1.44
24	ATCC_43300	M9_GMP	1.44
24	11.1.1	M9	0.44
24	11.1.1	M9	0.5
24	11.1.1	M9	0.56
24	11.1.1	M9_GLU	0.62
24	11.1.1	M9_GLU	0.64
24	11.1.1	M9_GLU	0.70
24	11.1.1	M9_Neu5Ac	0.80
24	11.1.1	M9_Neu5Ac	0.84
24	11.1.1	M9_Neu5Ac	0.90
24	13E2.1	M9	1.36
24	13E2.1	M9	1.48
24	13E2.1	M9	1.4
24	13E2.1	M9_GLU	2.88
24	13E2.1	M9_GLU	2.88
24	13E2.1	M9_GLU	3.14
24	13E2.1	M9_Neu5Ac	1.92
24	13E2.1	M9_Neu5Ac	2.26
24	13E2.1	M9_Neu5Ac	2.16